"","nl-nl"
"of","van"
"(element ...)","(element ...)"
"(multiple)","(meervoudig)"
"(no deadline)","(geen deadline)"
"(No photo)","Maak foto"
"(No superior)","(Geen voorman)"
"(No title)","(Geen titel)"
"(none)","(geen)"
"(Not set)","(Niet ingesteld)"
"(Photo)","Opnieuw nemen"
"(room ...)","(ruimte ...)"
"(unspecified)","(niet nader gespecificeerd)"
"{0} of {1}",""
"{0} unsent message","{0} onverzonden bericht"
"{0} unsent messages","{0} onverzonden berichten"
"0 tasks for {0}",""
"A client error occured",""
"A main responsbile cannot be removed","A main responsbile cannot be removed"
"Accept","Accepteren"
"Accept eula","Accepteer onze <a href='eula.htm' target='_blank'>voorwaarden</a>"
"Account expired (admin)",""
"Account expired (user)",""
"accuracy","nauwkeurigheid"
"Active user","Actieve gebruiker"
"add","Toevoegen"
"Add","Toevoegen"
"Add building",""
"Add criteria",""
"Add information","Voeg informatie toe"
"Add new registration",""
"Add new role","Voeg nieuwe functie toe"
"Add other user","Voeg andere gebruiker toe"
"Add other user...","Voeg andere gebruiker toe…"
"Add person","Add person"
"Add persons",""
"Add photo",""
"Add project user","voeg project gebruiker toe"
"Add quick field","Voeg korte titel toe"
"add subordinate warning","Je gaat een ondergeschikte toevoegen aan:\n{0} ({1})\n\nDoorgaan?"
"add subordinate warning","U staat op het punt om hieronder een functie toe te voegen {1} in het bouwwerk {1}.\n\nVerder gaan?"
"Add zone",""
"added","Toegevoegd"
"Added","Toegevoegd"
"Address","Adres"
"Address 1","Adres 1"
"Address 2","Adres 2"
"Address book","Contacten"
"address1","Adres 1"
"address2","Adres 2"
"administration","Administratie"
"Administration","Administratie"
"Administrator","Beheerder"
"administrators","Beheerder"
"administrators","Beheerders"
"Advanced","Geavanceerd"
"Advanced filter",""
"After","Na"
"alert delete role","Weet u zeker dat u deze functie wilt verwijderen?\n\nOpgedragen taken {0} Blijft beschikbaar voor {1} onder ""lopende""."
"all","Alles"
"All","Alles"
"All (folder)","Alle taken"
"All contracts","Alle contracten"
"All tasks","Alle taken"
"All tasks (folder)","Alle taken"
"All tasks will be deleted","Onverzonden taken en concepten zullen verloren gaan"
"All users","Alle gebruikers"
"all_users","Alle gebruikers"
"all_users","Alle gebruikers"
"Allow cookies","cookies toestaan (<a href='cookies.htm' target='_blank'>read more</a>)"
"Allow create tasks","Aanmaken taken toestaan"
"Allow create tasks colleagues","Aanmaken taken voor collega's toestaan"
"Allow create users","Aanmaken gebruikers toestaan"
"already created","is al aangemaakt"
"already exists","Bestaat al"
"Altered","Veranderd"
"Annotate","Aantekeningen foto"
"Anonymous user","Anonieme gebruiker"
"Approve","Goedkeuren, sluiten"
"Approve followup","Goedkeuren, vervolgen"
